,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
150,150-H18C8,532.8177490851186,-28.917154657947417,-52.0,11.69590758393044,,0.01863935041909673,,,23.082845342052583,,
151,151-H18C8,211.01975793400663,-36.57348087345056,-51.1,11.739504164594218,,0.013914824213928697,,,14.526519126549438,,
152,152-H18C8,221.05330636966,-37.53213847355108,-52.4,11.780050301636395,,0.02292691152583543,,,14.86786152644892,,
153,153-H18C8,187.846925670581,-39.49427398236121,-53.2,11.823959077999229,,0.006388754125987355,,,13.705726017638796,,
154,154-H18C8,55.04949490228903,-44.08046531767059,-51.5,11.872894029839347,,0.013906707491094607,,,7.419534682329413,,
155,155-H18C8,456.67649687088016,-31.23000943212936,-52.6,11.736175288175296,,0.02361725556599007,,,21.36999056787064,,
156,156-H18C8,347.3662882063376,-32.262234892392875,-50.9,11.75957720336069,,0.006402708464670434,,,18.637765107607123,,
157,157-H18C8,112.01358829108399,-39.81635278880272,-50.4,11.809528611602596,,0.016879440834814956,,,10.583647211197281,,
158,158-H18C8,357.98117718357224,-31.579609486493883,-50.5,11.741130310757624,,0.0105820298943885,,,18.920390513506117,,
159,159-H18C8,556.5550855566087,-27.80858025559698,-51.4,11.711807433218299,,0.01742013206089698,,,23.59141974440302,,
160,160-H18C8,72.44524500169629,-42.28852274856495,-50.8,11.823968226595213,,0.012542744921679325,,,8.511477251435046,,
161,161-H18C8,74.00018205169694,-42.097664151423935,-50.7,11.81118597829676,,0.017900668876918446,,,8.602335848576068,,
162,162-H18C8,647.1049328200174,-48.66988534890974,-49.9,11.90537508558093,,1.0379546107648821e-06,,35.93304191869067,1.2301146510902612,,
163,163-H10C9,4.8305467095204255,30.49785047478677,28.3,9.299995573854247,,0.09688453675510098,,,2.197850474786769,,
164,164-H10C9,2.4833530336772056,37.57586580446344,36.0,9.253835245904131,,0.08258555727508089,,,1.5758658044634402,,
165,165-H18C9,157.41592872252716,-38.9534495289531,-51.5,11.571470059198404,,0.007907623625052722,,,12.5465504710469,,
166,166-H18C9,135.55588440279547,-37.75715307998961,-49.4,11.49852622731884,,0.019949720689699142,,,11.642846920010392,,
167,167-H20C9,754.2918577336019,-27.935625662804515,-55.4,11.632266676424923,,1.2221557515943287e-05,,,27.464374337195483,,
168,168-H20C9,1.7056565355753768,-53.393992138011654,-54.7,11.85466395390413,,0.003262924549478256,,,1.3060078619883484,,
169,169-H8C10,472.7706959751705,72.05660253289686,73.5,8.066876881773991,,1.0038982689871836,,30.68182848942125,-1.4433974671031393,,
170,170-H8C10,287.50525718297587,38.27792232591376,36.1,8.57376765350514,8.15,1.0610465771927078e-07,,23.013213991510924,2.1779223259137552,0.42376765350513956,
171,171-H10C10,275.72523995499193,117.69502363883069,134.3,9.331138811793613,,0.006644699575950366,,,-16.60497636116932,,
172,172-H10C10,54.416668470172944,52.02323455231407,59.4,9.002608979919781,,0.09725159403175936,,,-7.376765447685926,,
173,173-H10C10,30.329728313101498,47.5927567410635,53.1,9.679972347497861,,0.12303680115287029,,,-5.507243258936498,,
174,174-H10C10,270.657772576074,63.44832006827042,79.9,9.360953972883085,,0.059226104249248034,,,-16.451679931729586,,
175,175-H10C10,227.90307740201197,103.0035408985414,118.1,8.871760337857449,,0.0009922894469963604,,,-15.096459101458592,,
176,176-H10C10,394.45113777389537,54.13920601350753,74.0,8.950640941604664,,1.7037947913413373e-06,,,-19.860793986492467,,
177,177-H12C10,299.28377894141397,67.80017980031543,85.1,9.608883330261186,,2.315786107212683e-05,,,-17.29982019968456,,
178,178-H12C10,51.62059682615296,65.11525248695871,72.3,8.81540969661798,,2.286901080961219e-05,,,-7.1847475130412874,,
179,179-H12C10,23.98702426632446,1.302345023756322,6.2,9.216794685372538,,0.022078892241317528,,,-4.897654976243678,,
180,180-H14C10,76.10246908562908,4.523672912576965,-4.2,9.286015781907915,,0.05383360524521402,,,8.723672912576966,,
181,181-H14C10,78.64425663257443,3.668159709464778,-5.2,9.28166859010042,,0.0711470762503023,,,8.868159709464779,,
182,182-H14C10,91.76006627913576,0.9791474714160113,-8.6,9.13367504825093,,0.010040493167539029,,,9.579147471416011,,
183,183-H14C10,0.032732996891820944,20.080922626809972,19.9,8.723979896812898,,0.6565888686471842,,,0.1809226268099735,,
184,184-H14C10,52.90922712256831,-3.0261270891932472,-10.3,9.138702361085642,,0.024203739716320463,,,7.2738729108067535,,
185,185-H14C10,44.193397823533346,-4.65218849368205,-11.3,9.101060510282956,,1.9456562812831473e-05,,,6.647811506317951,,
186,186-H14C10,434.661032212216,15.448525900221725,-5.4,9.275883227526668,,0.0017407992226396351,,,20.848525900221723,,
187,187-H14C10,190.1083252246761,-10.787977561073854,3.0,9.716501891330743,,0.08828079411415,,,-13.787977561073854,,
188,188-H16C10,0.32037244329940534,-6.466014525696475,-5.9,8.820754574203283,,0.14550096421732778,,,-0.5660145256964748,,
189,189-H16C10,309.37509901080386,-26.51447111435107,-31.9,11.274428791058744,9.6,7.015348095342303e-07,,,5.385528885648927,1.6744287910587445,
190,190-H16C10,969.1464904607415,14.597197563178861,-6.8,9.791415281565484,,0.028595445965173785,,31.97831849560055,21.39719756317886,,
191,191-H16C10,206.55974300723392,-38.87218643795139,-24.5,11.761524053926127,,0.038168512917620454,,,-14.372186437951392,,
192,192-H18C10,35.475572948494026,-20.543862581463216,-26.5,9.622572575482423,,0.06022071415808567,,,5.956137418536784,,
193,193-H18C10,7.714810855192669,-23.82244516612315,-26.6,9.61452088963369,,0.04131269397014023,,,2.7775548338768523,,
194,194-H18C10,10.099348193956216,-37.32205283335984,-40.5,11.371768536639998,,0.012288331303141716,,,3.177947166640159,,
195,195-H18C10,6.689861631604217,-37.28647668298097,-34.7,11.492605170048614,,0.025031568931110523,,,-2.5864766829809653,,
196,196-H18C10,2.536529731928916,-41.907351346991774,-43.5,11.3626193996123,,1.5982259278216911e-06,,,1.5926486530082258,,
197,197-H20C10,839.9185535645144,-10.918651626183534,-39.9,9.775454965828004,,3.5171646271057516e-05,,,28.981348373816466,,
198,198-H20C10,897.2122243366459,-0.3464989636161923,-30.3,9.792146748963837,,0.12434725666871722,,,29.95350103638381,,
199,199-H20C10,3.07874664170506,-28.045364242440883,-29.8,9.945701455320249,,0.03830128510687896,,,1.754635757559118,,
200,200-H20C10,4.980134115892325,-48.768378590375974,-51.0,11.54930272307706,,0.011083483293886944,,,2.231621409624026,,
201,201-H20C10,30.82049583368395,-50.75162100955063,-45.2,11.841142854204232,,0.013806902039132105,,,-5.5516210095506295,,
202,202-H22C10,2672.2096977906995,-11.806579743736252,-63.5,11.520349263588411,,0.005688578546011068,,,51.69342025626375,,
